"email","first_name","last_name","cf_id","company_name","description","end_date","Left of Goal"
"tobias.carbajal@live.com","Tobias","Carbajal",3138,"Joyce PLC","Synchronized directional capability","2021-05-18",426.00
"svenja.perrin@berger.com","Svenja","Perrin",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.00
"mathilde.kruschwitz@yahoo.com","Mathilde","Kruschwitz",1911,"Willis and Sons","Fundamental incremental database","2021-06-16",72323.00
"lauretta.neal@hotmail.de","Lauretta","Neal",2284,"Foley-Cox","Progressive zero administration leverage","2022-01-13",151747.00
"katarina.clarke@hotmail.com.au","Katarina","Clarke",910,"Wiggins Ltd","Upgradable analyzing core","2021-11-24",3739.00
"imelda.guerin@stumpf.net","Imelda","Guerin",948,"Burns-Burnett","Front-line scalable definition","2021-05-19",1559.00
"henry.gucci@leleu.fr","Henry","Gucci",238,"Parker PLC","Reduced interactive matrix","2021-07-21",41198.00
"guillermina.nicholson@grondin.fr","Guillermina","Nicholson",563,"Rush-Bowers","Persevering analyzing extranet","2021-12-26",71872.00
"gabriela.padilla@pearson-russell.com","Gabriela","Padilla",2510,"Parker-Morris","Assimilated next generation instruction set","2021-02-23",40291.00
"danny.farrell@hotmail.com","Danny","Farrell",2488,"Cooper Inc","Polarized discrete product","2021-03-21",1503.00
"chantal.armas@jenkins.net","Chantal","Armas",1572,"Mcmillan Group","Advanced cohesive Graphic Interface","2021-12-29",98164.00
"caroline.reeves@yahoo.com","Caroline","Reeves",2882,"Barnes-Williams","Upgradable explicit forecast","2021-12-02",3768.00
"calogero.cross@mercantini.it","Calogero","Cross",968,"Warren Ltd","Distributed system-worthy application","2021-09-21",153288.00
"ariadna.geisel@rangel.com","Ariadna","Geisel",1114,"Nunez-Richards","Exclusive attitude-oriented intranet","2021-03-10",88154.00
